user_id,profile_completeness,profile_views,proposal_success_rate,job_invitations,hourly_rate,skills,portfolio_items,repeat_clients_rate,updated_at
9a559366-7dad-45ab-a95d-c7227059da18,72,1207,6,8,84,Firebase;MongoDB;Problem Solving,11,43,2025-11-27T09:11:31Z
8972e26f-61bf-4dec-aa72-57acfbeef644,77,798,39,11,91,AWS;Django;GraphQL;Redis;TypeScript,6,44,2025-11-27T09:11:31Z
6e3b6bc0-2a3f-4051-bf11-f1da4303d8f8,73,2199,20,5,31,Django;ElasticSearch;Firebase;Kubernetes;MySQL;Python;Spring Boot,4,40,2025-11-27T09:11:31Z
b78a22ee-1b14-4877-8980-728455110021,59,1775,28,1,30,Azure;Django;GraphQL;Webpack,15,44,2025-11-27T09:11:31Z
51ed64c2-0365-4433-9ed3-94c868191145,61,798,25,5,55,CI/CD;Jira;MySQL;Pandas,18,41,2025-11-27T09:11:31Z
8a845fc8-620d-4a8d-b63a-adb0e1ef5867,83,1722,23,13,31,CI/CD;GraphQL;Leadership;Matplotlib;Node.js;Seaborn,8,43,2025-11-27T09:11:31Z
3055e67e-d4d6-4a3a-a3a8-e79a3be0997b,87,209,34,15,118,Matplotlib;Next.js;Testing,11,38,2025-11-27T09:11:31Z
043410de-b5a3-4e5c-8e37-bd3e07f050cc,99,931,41,9,20,ElasticSearch;Microservices;Python;TypeScript,3,17,2025-11-27T09:11:31Z
ac64136b-136c-4684-b0dc-70018beb06d3,56,273,51,4,200,Azure;Django;GraphQL;PyTorch;RabbitMQ;React;Redis,5,0,2025-11-27T09:11:31Z
62e13133-d20c-4336-b810-71ac71b0a8e6,66,1826,35,12,36,FastAPI;MongoDB;REST APIs;React,8,33,2025-11-27T09:11:31Z
fbf47e61-3136-469d-b4a2-fcfa60373bd7,73,384,13,0,157,Angular;CI/CD;React;Scrum;Seaborn,9,26,2025-11-27T09:11:31Z
973a3534-d145-4b4c-8204-fec4ecf6c477,40,1037,43,7,185,FastAPI;Figma;GraphQL;MongoDB;Node.js;Spring Boot,16,32,2025-11-27T09:11:31Z
f504e05d-c243-479a-92d5-e28053e4a261,69,1117,17,7,58,CI/CD;FastAPI;Figma;GCP;Keras;Leadership;Seaborn,11,51,2025-11-27T09:11:31Z
e5292733-073e-46ee-ac84-ab5935799620,61,429,31,9,21,Azure;Jira;MongoDB;PyTorch;RabbitMQ;Scrum,15,33,2025-11-27T09:11:31Z
605b096e-fbc1-47da-8289-bbcd5b8725dd,82,368,55,6,66,Figma;Keras;Microservices;Next.js;Pandas;SASS;Vue.js,7,40,2025-11-27T09:11:31Z
937b390b-c502-4302-a2a6-01378b0b2f9f,100,1738,0,7,55,Angular;Django;Figma;Firebase;Pandas;Redis;Scrum;TypeScript,11,38,2025-11-27T09:11:31Z
b8371598-b1b4-4934-9ff1-e361f6c551eb,86,1872,35,0,18,Docker;Keras;Kubernetes;Matplotlib;Node.js;PostgreSQL,10,57,2025-11-27T09:11:31Z
9090a732-793b-437d-98b5-af1adcc05175,100,438,23,0,41,GraphQL;MongoDB;Node.js;Problem Solving;React;Seaborn;TypeScript;UI/UX Design,2,19,2025-11-27T09:11:31Z
fd91cd52-472d-4563-bb87-41537abaaf1b,57,1276,37,14,52,Communication;FastAPI;Keras;Leadership;MongoDB;Next.js,13,12,2025-11-27T09:11:31Z
d6319fc4-aa27-43d4-8d9e-01bbcaad0bed,72,1231,16,8,24,AWS;MongoDB;REST APIs;TailwindCSS,4,42,2025-11-27T09:11:31Z
1d1f02f8-2b7a-4c93-b80a-74ff934ebcd1,97,1765,31,0,90,Jira;REST APIs;Vue.js,13,27,2025-11-27T09:11:31Z
4a192978-3e6e-448f-bc6d-2887ef7d610b,66,677,19,4,200,AWS;ElasticSearch;Firebase;Pandas;React;Vue.js;Webpack,11,0,2025-11-27T09:11:31Z
